Pokémon,HP,Atk,Def,SpAtk,SpDef,Speed,Type,Type,Damage Dealt,Damage Taken,HP,Num KO
1,BULBASAUR,,45,49,49,65,65,45,GRASS,POISON,3252653,5463224,294,18582.39455782313
2,IVYSAUR,,60,62,63,80,80,60,GRASS,POISON,3667142,4813060,324,14855.123456790123
3,VENUSAUR,,80,82,83,100,100,80,GRASS,POISON,5774237,4132864,364,11354.021978021978
4,CHARMANDER,,39,52,43,60,50,65,FIRE,,4587723,5978572,282,21200.609929078015
5,CHARMELEON,,58,64,58,80,65,80,FIRE,,5221695,5180729,320,16189.778125
6,CHARIZARD,,78,84,78,109,85,100,FIRE,FLYING,9005206,4401457,360,12226.269444444444
7,SQUIRTLE,,44,48,65,50,64,43,WATER,,4391107,5008844,292,17153.575342465752
8,WARTORTLE,,59,63,80,65,80,58,WATER,,5043480,4424650,322,13741.149068322982
9,BLASTOISE,,79,83,100,85,105,78,WATER,,7674035,3799277,362,10495.240331491712
10,CATERPIE,,45,30,35,20,20,45,BUG,,128130,7303301,294,24841.159863945577
11,METAPOD,,50,20,55,25,25,30,BUG,,119403,6333171,304,20832.799342105263
12,BUTTERFREE,,60,45,50,90,80,70,BUG,FLYING,3667124,5197588,324,16041.938271604939
13,WEEDLE,,40,35,30,20,20,50,BUG,POISON,122275,7549816,284,26583.859154929578
14,KAKUNA,,45,25,50,25,25,35,BUG,POISON,114975,6490781,294,22077.48639455782
15,BEEDRILL,,65,90,40,45,80,75,BUG,POISON,3518010,5571661,334,16681.619760479043
16,PIDGEY,,40,45,40,35,35,56,NORMAL,FLYING,2208124,6505201,284,22905.63732394366
17,PIDGEOTTO,,63,60,55,50,50,71,NORMAL,FLYING,2561165,5567894,330,16872.40606060606
18,PIDGEOT,,83,80,75,70,70,101,NORMAL,FLYING,3520111,4675164,370,12635.578378378379
19,RATTATA,,30,56,35,25,35,72,NORMAL,,3200603,6724324,264,25470.924242424244
20,RATICATE,,55,81,60,50,70,97,NORMAL,,4773113,5042229,314,16058.054140127388
21,SPEAROW,,40,60,30,31,31,70,NORMAL,FLYING,2664750,7104027,284,25014.179577464787
22,FEAROW,,65,90,65,61,61,100,NORMAL,FLYING,4029590,5063187,334,15159.24251497006
23,EKANS,,35,60,44,40,54,55,POISON,,3641129,5852521,274,21359.565693430657
24,ARBOK,,60,95,69,65,79,80,POISON,,5577893,4678217,324,14438.941358024691
25,PIKACHU,,35,55,40,50,50,90,ELECTRIC,,3727477,6099577,274,22261.229927007298
26,RAICHU,,60,90,55,90,80,110,ELECTRIC,,5533592,5039978,324,15555.487654320988
27,SANDSHREW,,50,75,85,20,30,40,GROUND,,4160994,5432748,304,17870.88157894737
28,SANDSLASH,,75,100,110,45,55,65,GROUND,,5793621,4362762,354,12324.186440677966
