Pokémon,HP,Atk,Def,SpAtk,SpDef,Speed,Type,Type,Damage Dealt,Damage Taken,HP,Num KO
BULBASAUR,45,49,49,65,65,45,GRASS,POISON,226234,263086,294,894.8503401360545
IVYSAUR,60,62,63,80,80,60,GRASS,POISON,255567,231278,324,713.820987654321
VENUSAUR,80,82,83,100,100,80,GRASS,POISON,335940,197903,364,543.6895604395604
CHARMANDER,39,52,43,60,50,65,FIRE,,218943,286682,282,1016.6028368794326
CHARMELEON,58,64,58,80,65,80,FIRE,,256089,247967,320,774.896875
CHARIZARD,78,84,78,109,85,100,FIRE,FLYING,355476,210181,360,583.8361111111111
SQUIRTLE,44,48,65,50,64,43,WATER,,226663,239521,292,820.277397260274
WARTORTLE,59,63,80,65,80,58,WATER,,260392,211299,322,656.2080745341615
BLASTOISE,79,83,100,85,105,78,WATER,,305333,181021,362,500.05801104972375
CATERPIE,45,30,35,20,20,45,BUG,,74427,356335,294,1212.0238095238096
METAPOD,50,20,55,25,25,30,BUG,,65558,317363,304,1043.9572368421052
BUTTERFREE,60,45,50,90,80,70,BUG,FLYING,230296,253541,324,782.533950617284
WEEDLE,40,35,30,20,20,50,BUG,POISON,78871,365448,284,1286.7887323943662
KAKUNA,45,25,50,25,25,35,BUG,POISON,69978,321819,294,1094.6224489795918
BEEDRILL,65,90,40,45,80,75,BUG,POISON,210676,277133,334,829.7395209580839
PIDGEY,40,45,40,35,35,56,NORMAL,FLYING,201484,312367,284,1099.8838028169014
PIDGEOTTO,63,60,55,50,50,71,NORMAL,FLYING,233195,266877,330,808.7181818181818
PIDGEOT,83,80,75,70,70,101,NORMAL,FLYING,303488,223591,370,604.3
RATTATA,30,56,35,25,35,72,NORMAL,,222867,322370,264,1221.0984848484848
RATICATE,55,81,60,50,70,97,NORMAL,,298044,241434,314,768.8980891719746
SPEAROW,40,60,30,31,31,70,NORMAL,FLYING,231328,340702,284,1199.6549295774648
FEAROW,65,90,65,61,61,100,NORMAL,FLYING,319356,242323,334,725.5179640718563
EKANS,35,60,44,40,54,55,POISON,,202384,280942,274,1025.3357664233577
ARBOK,60,95,69,65,79,80,POISON,,265267,223761,324,690.6203703703703
PIKACHU,35,55,40,50,50,90,ELECTRIC,,195047,293017,274,1069.405109489051
RAICHU,60,90,55,90,80,110,ELECTRIC,,261587,244104,324,753.4074074074074
SANDSHREW,50,75,85,20,30,40,GROUND,,188674,287323,304,945.141447368421
SANDSLASH,75,100,110,45,55,65,GROUND,,226492,222830,354,629.4632768361582
NIDORANfE,55,47,52,40,40,41,POISON,,133048,285507,314,909.2579617834394
NIDORINA,70,62,67,55,55,56,POISON,,153895,246859,344,717.6133720930233
