Pokémon,HP,Atk,Def,SpAtk,SpDef,Speed,Type,Type,Damage Dealt,Damage Taken,HP,Num KO
1,BULBASAUR,,45,49,49,65,65,45,GRASS,POISON,0,21805,294,74.16666666666667
2,IVYSAUR,,60,62,63,80,80,60,GRASS,POISON,0,19236,324,59.370370370370374
3,VENUSAUR,,80,82,83,100,100,80,GRASS,POISON,0,16514,364,45.36813186813187
4,CHARMANDER,,39,52,43,60,50,65,FIRE,,0,23957,282,84.95390070921985
5,CHARMELEON,,58,64,58,80,65,80,FIRE,,0,20754,320,64.85625
6,CHARIZARD,,78,84,78,109,85,100,FIRE,FLYING,0,17633,360,48.980555555555554
7,SQUIRTLE,,44,48,65,50,64,43,WATER,,0,20091,292,68.80479452054794
8,WARTORTLE,,59,63,80,65,80,58,WATER,,0,17751,322,55.12732919254658
9,BLASTOISE,,79,83,100,85,105,78,WATER,,0,15227,362,42.06353591160221
10,CATERPIE,,45,30,35,20,20,45,BUG,,0,29512,294,100.38095238095238
11,METAPOD,,50,20,55,25,25,30,BUG,,0,25723,304,84.61513157894737
12,BUTTERFREE,,60,45,50,90,80,70,BUG,FLYING,0,20721,324,63.9537037037037
13,WEEDLE,,40,35,30,20,20,50,BUG,POISON,0,30445,284,107.20070422535211
14,KAKUNA,,45,25,50,25,25,35,BUG,POISON,0,26282,294,89.39455782312925
15,BEEDRILL,,65,90,40,45,80,75,BUG,POISON,0,22187,334,66.42814371257485
16,PIDGEY,,40,45,40,35,35,56,NORMAL,FLYING,0,26200,284,92.25352112676056
17,PIDGEOTTO,,63,60,55,50,50,71,NORMAL,FLYING,0,22430,330,67.96969696969697
18,PIDGEOT,,83,80,75,70,70,101,NORMAL,FLYING,0,18797,370,50.8027027027027
19,RATTATA,,30,56,35,25,35,72,NORMAL,,0,27017,264,102.33712121212122
20,RATICATE,,55,81,60,50,70,97,NORMAL,,0,20196,314,64.31847133757962
21,SPEAROW,,40,60,30,31,31,70,NORMAL,FLYING,0,28531,284,100.46126760563381
22,FEAROW,,65,90,65,61,61,100,NORMAL,FLYING,0,20330,334,60.868263473053894
23,EKANS,,35,60,44,40,54,55,POISON,,0,23451,274,85.58759124087591
24,ARBOK,,60,95,69,65,79,80,POISON,,0,18723,324,57.78703703703704
25,PIKACHU,,35,55,40,50,50,90,ELECTRIC,,0,24455,274,89.25182481751825
26,RAICHU,,60,90,55,90,80,110,ELECTRIC,,0,20162,324,62.22839506172839
27,SANDSHREW,,50,75,85,20,30,40,GROUND,,0,22144,304,72.84210526315789
28,SANDSLASH,,75,100,110,45,55,65,GROUND,,0,17739,354,50.110169491525426
29,NIDORANfE,,55,47,52,40,40,41,POISON,,0,23854,314,75.96815286624204
30,NIDORINA,,70,62,67,55,55,56,POISON,,0,20699,344,60.17151162790697
31,NIDOQUEEN,,90,92,87,75,85,76,POISON,GROUND,0,16994,384,44.255208333333336
32,NIDORANmA,,46,57,40,40,40,50,POISON,,0,25577,296,86.40878378378379
33,NIDORINO,,61,72,57,55,55,65,POISON,,0,21722,326,66.6319018404908
34,NIDOKING,,81,102,77,85,75,85,POISON,GROUND,0,18283,366,49.95355191256831
35,CLEFAIRY,,70,45,48,60,65,35,FAIRY,,0,21972,344,63.872093023255815
36,CLEFABLE,,95,70,73,95,90,60,FAIRY,,0,17832,394,45.25888324873097
37,VULPIX,,38,41,40,50,65,65,FIRE,,0,23159,280,82.71071428571429
38,NINETALES,,73,76,75,81,100,100,FIRE,,0,17154,350,49.011428571428574
39,JIGGLYPUFF,,115,45,20,45,25,20,NORMAL,FAIRY,0,31804,434,73.28110599078342
40,WIGGLYTUFF,,140,70,45,85,50,45,NORMAL,FAIRY,0,23676,484,48.917355371900825
41,ZUBAT,,40,45,35,30,40,55,POISON,FLYING,0,26394,284,92.93661971830986
42,GOLBAT,,75,80,70,65,75,90,POISON,FLYING,0,18907,354,53.409604519774014
43,ODDISH,,45,50,55,75,65,30,GRASS,POISON,0,21134,294,71.8843537414966
44,GLOOM,,60,65,70,85,75,40,GRASS,POISON,0,18907,324,58.35493827160494
45,VILEPLUME,,75,80,85,110,90,50,GRASS,POISON,0,16898,354,47.73446327683616
46,PARAS,,35,70,55,45,55,25,BUG,GRASS,0,21998,274,80.28467153284672
47,PARASECT,,60,95,80,60,80,30,BUG,GRASS,0,17751,324,54.78703703703704
48,VENONAT,,60,55,50,40,55,45,BUG,POISON,0,22557,324,69.62037037037037
49,VENOMOTH,,70,65,60,90,75,90,BUG,POISON,0,19854,344,57.71511627906977
50,DIGLETT,,10,55,25,35,45,95,GROUND,,0,27810,224,124.15178571428571
51,DUGTRIO,,35,100,50,50,70,120,GROUND,,0,21361,274,77.95985401459853
52,MEOWTH,,40,45,35,40,40,90,NORMAL,,0,26394,284,92.93661971830986
53,PERSIAN,,65,70,60,65,65,115,NORMAL,,0,20528,334,61.461077844311376
54,PSYDUCK,,50,52,48,65,50,55,WATER,,0,23268,304,76.53947368421052
55,GOLDUCK,,80,82,78,95,80,85,WATER,,0,17902,364,49.18131868131868
56,MANKEY,,40,80,35,35,45,70,FIGHTING,,0,25800,284,90.84507042253522
57,PRIMEAPE,,65,105,60,60,70,95,FIGHTING,,0,20196,334,60.467065868263475
58,GROWLITHE,,55,70,45,70,50,60,FIRE,,0,23676,314,75.40127388535032
59,ARCANINE,,90,110,80,100,80,95,FIRE,,0,17751,384,46.2265625
60,POLIWAG,,40,50,40,40,40,90,WATER,,0,25577,284,90.05985915492958
61,POLIWHIRL,,65,65,65,50,50,90,WATER,,0,21304,334,63.78443113772455
62,POLIWRATH,,90,95,95,70,90,70,WATER,FIGHTING,0,16224,384,42.25
63,ABRA,,25,20,15,105,55,90,PSYCHIC,,0,29494,254,116.11811023622047
64,KADABRA,,40,35,30,120,70,105,PSYCHIC,,0,24577,284,86.53873239436619
65,ALAKAZAM,,55,50,45,135,95,120,PSYCHIC,,0,20625,314,65.68471337579618
66,MACHOP,,70,80,50,35,35,35,FIGHTING,,0,24734,344,71.90116279069767
67,MACHOKE,,80,100,70,50,60,45,FIGHTING,,0,19988,364,54.91208791208791
68,MACHAMP,,90,130,80,65,85,55,FIGHTING,,0,17482,384,45.526041666666664
69,BELLSPROUT,,50,75,35,70,30,40,GRASS,POISON,0,27741,304,91.2532894736842
70,WEEPINBELL,,65,90,50,85,45,55,GRASS,POISON,0,23517,334,70.41017964071857
71,VICTREEBEL,,80,105,65,100,70,70,GRASS,POISON,0,19676,364,54.05494505494506
72,TENTACOOL,,40,40,35,50,100,70,WATER,POISON,0,22001,284,77.46830985915493
73,TENTACRUEL,,80,70,65,80,120,100,WATER,POISON,0,17254,364,47.4010989010989
74,GEODUDE,,40,80,100,30,30,20,ROCK,GROUND,0,21189,284,74.60915492957747
75,GRAVELER,,55,95,115,45,45,35,ROCK,GROUND,0,18460,314,58.789808917197455
76,GOLEM,,80,120,130,55,65,45,ROCK,GROUND,0,15943,364,43.79945054945055
77,PONYTA,,50,85,55,65,65,90,FIRE,,0,21134,304,69.51973684210526
78,RAPIDASH,,65,100,70,80,80,105,FIRE,,0,18609,334,55.71556886227545
79,SLOWPOKE,,90,65,65,40,40,15,WATER,PSYCHIC,0,22426,384,58.401041666666664
80,SLOWBRO,,95,75,110,100,80,30,WATER,PSYCHIC,0,15903,394,40.36294416243655
81,MAGNEMITE,,25,35,70,95,55,45,ELECTRIC,STEEL,0,20445,254,80.49212598425197
82,MAGNETON,,50,60,95,120,70,70,ELECTRIC,STEEL,0,17373,304,57.14802631578947
83,FARFETCHD,,52,90,55,58,62,60,NORMAL,FLYING,0,21380,308,69.41558441558442
84,DODUO,,35,85,45,35,35,75,NORMAL,FLYING,0,25421,274,92.77737226277372
85,DODRIO,,60,110,70,60,60,110,NORMAL,FLYING,0,19988,324,61.69135802469136
86,SEEL,,65,45,55,45,70,45,WATER,,0,20802,334,62.2814371257485
87,DEWGONG,,90,70,80,70,95,70,WATER,ICE,0,16968,384,44.1875
88,GRIMER,,80,80,50,40,50,25,POISON,,0,22989,364,63.15659340659341
89,MUK,,105,105,75,65,100,50,POISON,,0,17154,414,41.43478260869565
90,SHELLDER,,30,65,100,45,25,40,WATER,,0,22013,264,83.38257575757575
91,CLOYSTER,,50,95,180,85,45,70,WATER,ICE,0,16260,304,53.48684210526316
92,GASTLY,,30,35,30,100,35,80,GHOST,POISON,0,27950,264,105.87121212121212
93,HAUNTER,,45,50,45,115,55,95,GHOST,POISON,0,23244,294,79.06122448979592
94,GENGAR,,60,65,60,130,75,110,GHOST,POISON,0,19854,324,61.27777777777778
