Pokémon,HP,Atk,Def,SpAtk,SpDef,Speed,Type,Type,Damage Dealt,Damage Taken,HP,Num KO
1,BULBASAUR,,45,49,49,65,65,45,GRASS,POISON,0,320,294,1.08843537414966
2,IVYSAUR,,60,62,63,80,80,60,GRASS,POISON,0,281,324,0.8672839506172839
3,VENUSAUR,,80,82,83,100,100,80,GRASS,POISON,0,238,364,0.6538461538461539
4,CHARMANDER,,39,52,43,60,50,65,FIRE,,0,341,282,1.2092198581560283
5,CHARMELEON,,58,64,58,80,65,80,FIRE,,0,294,320,0.91875
6,CHARIZARD,,78,84,78,109,85,100,FIRE,FLYING,0,248,360,0.6888888888888889
7,SQUIRTLE,,44,48,65,50,64,43,WATER,,0,276,292,0.9452054794520548
8,WARTORTLE,,59,63,80,65,80,58,WATER,,0,244,322,0.7577639751552795
9,BLASTOISE,,79,83,100,85,105,78,WATER,,0,212,362,0.585635359116022
10,CATERPIE,,45,30,35,20,20,45,BUG,,0,373,294,1.2687074829931972
11,METAPOD,,50,20,55,25,25,30,BUG,,0,306,304,1.006578947368421
12,BUTTERFREE,,60,45,50,90,80,70,BUG,FLYING,0,317,324,0.9783950617283951
13,WEEDLE,,40,35,30,20,20,50,BUG,POISON,0,396,284,1.3943661971830985
14,KAKUNA,,45,25,50,25,25,35,BUG,POISON,0,317,294,1.0782312925170068
15,BEEDRILL,,65,90,40,45,80,75,BUG,POISON,0,352,334,1.0538922155688624
16,PIDGEY,,40,45,40,35,35,56,NORMAL,FLYING,0,352,284,1.2394366197183098
17,PIDGEOTTO,,63,60,55,50,50,71,NORMAL,FLYING,0,302,330,0.9151515151515152
18,PIDGEOT,,83,80,75,70,70,101,NORMAL,FLYING,0,254,370,0.6864864864864865
19,RATTATA,,30,56,35,25,35,72,NORMAL,,0,373,264,1.4128787878787878
20,RATICATE,,55,81,60,50,70,97,NORMAL,,0,288,314,0.9171974522292994
21,SPEAROW,,40,60,30,31,31,70,NORMAL,FLYING,0,396,284,1.3943661971830985
22,FEAROW,,65,90,65,61,61,100,NORMAL,FLYING,0,276,334,0.8263473053892215
23,EKANS,,35,60,44,40,54,55,POISON,,0,337,274,1.22992700729927
24,ARBOK,,60,95,69,65,79,80,POISON,,0,266,324,0.8209876543209876
25,PIKACHU,,35,55,40,50,50,90,ELECTRIC,,0,352,274,1.2846715328467153
26,RAICHU,,60,90,55,90,80,110,ELECTRIC,,0,302,324,0.9320987654320988
27,SANDSHREW,,50,75,85,20,30,40,GROUND,,0,287,304,0.944078947368421
28,SANDSLASH,,75,100,110,45,55,65,GROUND,,0,219,354,0.6186440677966102
29,NIDORANfE,,55,47,52,40,40,41,POISON,,0,311,314,0.9904458598726115
30,NIDORINA,,70,62,67,55,55,56,POISON,,0,271,344,0.7877906976744186
31,NIDOQUEEN,,90,92,87,75,85,76,POISON,GROUND,0,232,384,0.6041666666666666
32,NIDORANmA,,46,57,40,40,40,50,POISON,,0,352,296,1.1891891891891893
33,NIDORINO,,61,72,57,55,55,65,POISON,,0,296,326,0.9079754601226994
34,NIDOKING,,81,102,77,85,75,85,POISON,GROUND,0,250,366,0.6830601092896175
