Pokémon,HP,Atk,Def,SpAtk,SpDef,Speed,Type,Type,Damage Dealt,Damage Taken,HP,Num KO
1,BULBASAUR,,45,49,49,65,65,45,GRASS,POISON,3101143,5637585,294,19175.45918367347
2,IVYSAUR,,60,62,63,80,80,60,GRASS,POISON,3496436,4967838,324,15332.833333333334
3,VENUSAUR,,80,82,83,100,100,80,GRASS,POISON,5549212,4267156,364,11722.956043956045
4,CHARMANDER,,39,52,43,60,50,65,FIRE,,4802191,6193025,282,21961.08156028369
5,CHARMELEON,,58,64,58,80,65,80,FIRE,,5470100,5365811,320,16768.159375
6,CHARIZARD,,78,84,78,109,85,100,FIRE,FLYING,9514236,4475869,360,12432.969444444445
7,SQUIRTLE,,44,48,65,50,64,43,WATER,,4520839,5076920,292,17386.712328767124
8,WARTORTLE,,59,63,80,65,80,58,WATER,,5191164,4484815,322,13927.996894409938
9,BLASTOISE,,79,83,100,85,105,78,WATER,,7879806,3849864,362,10634.983425414364
10,CATERPIE,,45,30,35,20,20,45,BUG,,126716,7608913,294,25880.656462585033
11,METAPOD,,50,20,55,25,25,30,BUG,,118472,6608110,304,21737.20394736842
12,BUTTERFREE,,60,45,50,90,80,70,BUG,FLYING,3691909,5805882,324,17919.38888888889
13,WEEDLE,,40,35,30,20,20,50,BUG,POISON,123966,7904984,284,27834.450704225354
14,KAKUNA,,45,25,50,25,25,35,BUG,POISON,116742,6819674,294,23196.17006802721
15,BEEDRILL,,65,90,40,45,80,75,BUG,POISON,3474479,5770776,334,17277.77245508982
16,PIDGEY,,40,45,40,35,35,56,NORMAL,FLYING,2300101,6519402,284,22955.640845070422
17,PIDGEOTTO,,63,60,55,50,50,71,NORMAL,FLYING,2667536,5579599,330,16907.87575757576
18,PIDGEOT,,83,80,75,70,70,101,NORMAL,FLYING,3584659,4684738,370,12661.454054054055
19,RATTATA,,30,56,35,25,35,72,NORMAL,,3087781,7075714,264,26801.946969696968
20,RATICATE,,55,81,60,50,70,97,NORMAL,,4577622,5315809,314,16929.328025477706
21,SPEAROW,,40,60,30,31,31,70,NORMAL,FLYING,2689760,7112884,284,25045.3661971831
22,FEAROW,,65,90,65,61,61,100,NORMAL,FLYING,4001712,5073146,334,15189.059880239522
